Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Dsg_Unts,Tot_Clms,Avg_Spnd_Per_Dsg_Unt_Wghtd,Avg_Spnd_Per_Clm
0,0,0,2426.26,1189,15.28,29.03
0,0,1,2426.26,1189,15.28,29.03
1,1,0,1613893.0,27596,4.56,266.73
1,1,2,504740.0,8520,4.51,267.43
1,1,3,636555.0,10946,4.53,263.63
1,1,4,189546.0,3237,4.83,282.6
1,1,5,283052.0,4893,4.53,261.97
2,2,0,283169.0,9466,33.79,1010.94
2,2,6,129341.0,4321,33.89,1014.36
2,2,7,153828.0,5145,33.72,1008.07
3,3,0,284214.0,4804,22.0,1301.77
3,3,8,284214.0,4804,22.0,1301.77
4,4,0,118977.724,118352,1672.24,1680.25
4,4,9,118977.724,118352,1672.24,1680.25
5,4,0,33937399.214,1109370,31.89,969.44
5,4,10,33937399.214,1109370,31.89,969.44
6,5,0,5624471.0,38134,0.99,146.22
6,5,5,1258403.0,8620,0.91,132.57
6,5,11,6445.0,54,1.03,122.59
6,5,12,3723262.0,25296,1.0,147.51
6,5,7,596244.0,3871,1.1,170.0
6,5,13,40117.0,293,0.93,127.5
7,6,0,4692560.091,53012,0.56,49.74
7,6,14,585941.0,6423,1.11,101.45
7,6,15,154139.0,1814,0.4,33.7
7,6,16,1402944.0,15601,0.4,36.1
7,6,17,1765890.091,20793,0.6,50.59
7,6,18,783646.0,8381,0.39,36.83
8,7,0,71977.0,1265,3.81,216.64
8,7,19,71977.0,1265,3.81,216.64
9,8,0,4894.0,123,3.49,138.93
9,8,20,4894.0,123,3.49,138.93
10,9,0,401518.0,7341,0.3,16.08
10,9,5,203773.0,3626,0.29,16.32
10,9,21,197745.0,3715,0.3,15.85
11,10,0,19937.825,312,7.4,473.04
11,10,22,19937.825,312,7.4,473.04
12,11,0,58.0,26,10.55,23.73
13,12,0,119830447.1,2743760,0.24,8.08
13,12,7,39256104.0,1148353,0.23,8.28
13,12,23,6483843.518,47738,0.14,6.88
13,12,11,14978.006,1150,19.46,127.35
13,12,21,22853867.0,794246,0.25,7.12
13,12,24,15226930.002,461375,0.28,9.42
13,12,25,26382461.848,188865,0.04,5.94
13,12,3,2780257.0,51404,0.27,15.53
13,12,26,6824338.092,48981,0.04,5.1
13,12,13,7667.63,1648,3.76,17.49
14,13,0,7839359.586,106178,2.04,149.32
14,13,27,2987725.445,40615,1.85,137.23
14,13,11,10347.007,266,2.67,103.79
14,13,28,3269344.134,40854,1.93,154.09
14,13,15,1571943.0,24443,2.52,161.91
15,14,0,1232.501,403,96.4,212.46
15,14,29,1058.501,296,56.28,201.24
15,14,30,150.0,85,32.22,56.86
16,15,0,4024066.124,15609,1.41,23.17
16,15,26,134882.0,8775,1.64,25.18
16,15,31,704236.0,428,0.0,8.12
16,15,32,3113823.0,1807,0.01,11.26
16,15,25,71125.124,4599,1.64,25.42
17,10,0,1158679.246,10187,1.25,132.8
17,10,33,774655.604,6903,1.13,114.75
17,10,34,327453.5,2783,0.91,107.01
17,10,35,44951.827,360,4.54,566.83
17,10,36,3588.515,80,7.04,315.59
17,10,37,8029.8,61,4.19,551.05
18,16,0,2032.0,55,0.1,3.65
18,16,38,2032.0,55,0.1,3.65
19,17,0,10211.0,199,0.08,4.02
19,17,39,9791.0,186,0.08,3.98
19,17,40,420.0,13,0.14,4.6
20,18,0,126544.5,3023,13.6,569.15
20,18,41,126544.5,3023,13.6,569.15
21,19,0,251923.0,6905,26.19,956.09
21,19,7,106120.0,2856,31.01,1154.28
21,19,5,43820.0,1174,21.47,797.44
21,19,6,57950.0,1646,23.98,841.11
21,19,42,44033.0,1229,22.45,801.1
22,20,0,325458.551,20977,360.06,1840.76
22,20,43,325458.551,20977,360.06,1840.76
23,21,0,33.54,33,685.79,697.01
23,21,44,33.54,33,685.79,697.01
24,22,0,61186.477,960,7.87,501.31
24,22,45,61186.477,960,7.87,501.31
25,23,0,4905.0,46,66.1,7245.61
25,23,7,4905.0,46,66.1,7245.61
26,24,0,2126.324,2668,3053.08,2649.61
26,24,46,2126.324,2668,3053.08,2649.61
