Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Dsg_Unts,Tot_Clms,Avg_Spnd_Per_Dsg_Unt_Wghtd,Avg_Spnd_Per_Clm
1605,649,63,67623085.09699316,695772,0.08,9.87534625357443
415,347,15,121597251.88,840729,0.06,8.88
2161,1461,0,821142.0,25694,29.86,915.59
2161,1461,256,821142.0,25694,29.86,915.59
779,606,3,14577322.127744092,449817,0.2607406851406082,8.514812201608585
2073,1405,92,27460346.654,718206,0.18,7.36
1344,970,0,653306.2237030257,18857,2.1277244802492037,72.37816849972621
1197,882,360,658580.9434701215,17167,2.16345791678322,77.42695727453237
1670,1170,112,46253539.48,1227449,0.2,7.37
285,247,0,1871531.645,32619,3.39,192.43
2219,1490,171,69875.5,898,75.63,5897.01
2268,427,21,85164752.592,1273448,0.1,6.4
928,705,18,27824362.14894673,580746,0.15166038661189865,7.333129919427612
1951,1334,0,5694.747828410807,2252,523.3435579358113,1239.5079487967823
791,582,28,50724.67411850975,8416,76.5229863506941,2628.595985009977
1995,1353,167,64020.457999487786,2314,89.07193562863888,5079.320376823589
1845,1261,127,60071.38638177521,3270,98.13816717292727,4527.810262515004
2268,1516,143,75341.190471607,4446,71.97657144930079,4988.955140866542
618,490,64,3519346.2488270192,72804,3.1666560170402076,153.65964342106713
683,520,0,2011168.8365765326,74469,4.030054924889436,73.31086780177962
1929,1307,0,966734.5383736837,31677,5.6574893308626075,172.2921364814437
1239,906,23,8770197.28673831,192275,1.7794881911309675,82.98134143966287
624,501,34,3144118.93483843,69019,2.799610285927184,127.58967366056147
1451,1045,0,1591.7857764102068,54,767.5098076526536,34300.81863607784
2029,1382,99,2325.0385870124683,120,490.5791238112205,13506.459954315844
1006,728,64,9710823.250702713,200258,0.5697383715134418,38.34529028848989
501,416,50,5608045.069184899,154127,0.94,34.69480662010039
412,341,2,2982716.9510627724,31376,1.3460658320858336,120.69301614765703
1999,1362,30,96265.171960793,6515,55.62879325433484,543.8631830618788
2068,1403,4,97902.766,6176,53.43,559.88
1389,972,59,16447024.628695007,462533,0.3607714158569371,13.354055922265964
1883,701,3,1508293.4431592692,45300,3.5556102796583895,128.1019526813699
1308,942,62,5386446.183099033,112287,0.8958487918957481,39.80052354330044
1166,525,87,31599508.71730478,652743,0.17,8.302698300354617
1403,1006,17,35706748.96666279,369616,0.12252948584272724,13.002384053945441
1286,619,71,32222410.208130762,687873,0.1663906542038455,8.202652335742034
556,457,0,2975966.004,27161,1.72,151.37
2044,1378,22,29662157.6927039,463037,0.18217487067779708,11.57770014972962
392,325,8,15558752.001,165771,0.65,44.91
803,464,3,41343.49892982155,8576,138.3167623308585,710.7084214439649
764,605,203,897665.89,67070,30.78,411.77
808,607,131,27486.56994260718,346,80.32880904735433,10507.806554430796
375,313,106,4509155.103856436,99511,1.427105422168393,78.92236250745576
1464,1031,76,12533363.203944147,276969,0.4222730363298096,19.16126999206768
795,620,16,65980.99610151551,13911,20.220092052332923,106.07546953491075
1469,234,2,2556740.282,80982,5.1,161.0
1469,234,0,2556740.282,80982,5.1,161.0
943,669,95,3704777.4863480553,75208,1.4726558574062159,83.6688194960779
1169,852,210,139704.60324311096,15193,34.37468925872447,3053.9148589336364
1372,980,334,133532.87278602066,8682,35.968557843515256,4362.596268178537
1949,1333,90,40073208.97253941,1105911,0.12154011561430345,5.536598621549842
280,133,1,49317984.66506226,1261392,0.10698842611297983,4.446252262252667
1337,966,227,222469.94,126021,24.24,42.73
440,367,18,4934827.086094809,105860,1.0998218330349983,77.24454180484803
268,233,125,1670.336,487,3224.28,11058.79
268,233,140,1670.336,487,3224.28,11058.79
1478,971,8,6061414.681322469,216270,1.7625047699277236,56.466146517029244
1735,1208,0,15243.752999200124,1843,189.0249026687335,3181.1576226334973
529,437,72,2681.0,984,2009.64,5475.44
529,437,0,2681.0,984,2009.64,5475.44
2188,1008,115,24381914.22600849,573790,0.25175446483545405,10.485668124159725
1061,803,64,215087.58,9195,31.14,728.47
1061,803,0,215087.58,9195,31.14,728.47
2045,1385,8,15768.0,739,340.47,7298.64
2045,1385,4,15768.0,739,340.47,7298.64
385,304,0,470637.32021375856,11910,16.34235535682016,1308.1356570406192
1009,721,0,190232.0,3408,80.23,4211.4
1009,721,264,190232.0,3408,80.23,4211.4
2165,1166,0,100650.039621356,2543,527.36921035472,10169.385846639345
2280,203,62,12927.372,5497,1796.12,3710.19
819,611,166,621228.7550350636,8711,5.787087820507498,367.823355013629
830,639,0,583501.580986569,10189,5.472886936045347,310.1694813280171
701,526,1,9245322.17981855,202467,0.7368567278497766,34.899769445122104
1204,899,0,462709.748,158678,12.33,35.95
1204,899,157,462709.748,158678,12.33,35.95
905,598,20,808421.7769646735,42792,6.762935536264036,215.66492272387808
404,337,11,4869751.197077446,80847,1.1139135999408678,104.83152415090561
2232,688,3,6969072.042188054,147429,1.3326748937918953,62.87693837741773
2019,1374,0,2623637.0,56283,2.64,118.19
2350,1562,3,5997633.836217379,224630,0.9689312330038025,25.178703122994946
1621,1119,1,6058002.631013823,153803,0.9131233499032056,51.219519960550315
1570,1105,0,121966.56125845047,841,41.11561331503711,5780.094823888952
1590,1120,256,906535.1446142504,43542,6.062605124649874,137.23539861531154
447,378,0,256893.51,25759,25.92,258.46
447,378,91,256893.51,25759,25.92,258.46
1856,1263,0,12567.798592099789,4043,494.57491881115834,1019.6064153100926
1936,1329,220,23505.5,102,161.78,37282.14
1936,1329,269,23505.5,102,161.78,37282.14
345,289,2,4540609.945483289,39818,1.1313823397251908,132.67540555938905
1748,497,49,6498.718,4247,838.28,1282.73
1748,497,0,6498.718,4247,838.28,1282.73
2104,1430,12,48737.734,24792,81.58,99.8
1805,1237,16,41194.56934972837,20447,143.38328319931605,4050.844392093178
1180,859,13,3122767.917370577,98277,1.7669533490668576,77.53909433800361
571,450,63,3051006.8547484735,37770,1.7988033757138389,156.52943072833037
892,653,70,9694326.23313576,181468,0.5750201001403324,42.074190699074734
930,714,0,48565987.435,1396001,0.23,3.9
456,355,12,14851409.838380944,454693,0.2688667281389194,8.89673622252921
1495,857,70,67395134.12552683,1771661,0.09628099405387977,3.767065942985958
1615,1134,0,2126942.5,56175,1.56,59.06
1446,545,40,5129102.842395208,200813,1.5214085858899313,32.122092250725224
984,718,52,477305476.33514684,1008903,0.021807008160973418,10.39609562764627
181,153,0,278045.3827152491,6677,6.658040041488568,6392.53649197788
497,412,249,262865.0,75,7.48,26096.69
1959,1338,156,961860.0,31736,5.68,172.18
1929,1274,438,960364.2284142254,30236,5.693909675321055,242.98720222183198
2188,1472,314,246418.92736210697,18870,58.20023470523876,843.997521516574
2150,854,59,131139.17782892016,20843,45.229365098155334,295.65954717536493
755,550,82,29134631.07235496,472593,0.20524007756041682,12.407527086190603
2374,1575,248,496176.966,10166,13.74,686.91
776,609,63,440754.740596621,41223,4.83827583285841,6703.361283375012
313,263,17,8882152.699486155,74533,0.6441779226123852,1513.6694352187171
956,735,332,512262.6816399483,54794,10.751345225472578,217.42317819514022
941,725,0,512939.95961639745,61274,10.721940971791716,174.94873375313392
750,472,96,68549368.56004338,645179,0.07,8.179035334585233
1373,988,220,219826.12445888246,120781,24.65778171221179,49.123573055408286
1085,793,87,17975.274837518824,686,2042.9030706661297,4658.791923601531
1059,776,47,17148.88726909496,665,2131.707177664571,4793.87249636355
1795,917,94,15872755.567914508,370732,0.4284018256128875,18.81442863747327
18,15,0,5619790.842114533,41133,0.9887990264524831,143.51756932337736
1279,936,6,12048467.393135427,251379,0.2034478399233514,10.114733423443901
791,622,0,1260747.111075605,50888,33.33592674131933,136.85832691666576
1213,890,125,1204326.2712436211,33484,0.12084848767145898,4.3221920429322855
1344,735,166,374709.5385127246,25704,15.032972286527256,359.0673406681191
635,509,39,9755182.928220665,295805,0.2949571558904197,9.828917776274398
2250,1510,4,326593.5,63207,17.04,88.06
2250,1510,34,326593.5,63207,17.04,88.06
1437,134,185,1928074.0,50203,4.52,173.02
1811,538,27,20544781.296,190184,0.38,41.14
429,167,56,2751519.888614871,68624,0.3354897549405778,12.090627036481017
2346,251,264,143900.0,4887,52.9,1557.7
1795,1242,59,4145976.375981692,69624,1.5,88.85654561487952
1715,1198,319,4056093.905106028,151763,1.0901997162510897,40.436201462599854
1490,333,100,9665940.476390418,82909,0.6097653212555545,69.95382199707669
1449,1040,16,1405618.2098300187,54417,3.990291136935096,192.05392915041722
629,472,0,58115336.91615999,173038,0.09113235822166606,143.73443186028126
1252,295,27,8370825.509862261,57000,0.6841332085048589,1435.2053112371834
1660,1162,37,2430702.129,370057,2.93,19.26
715,566,0,2356210.672,68719,1.59,54.58
2235,1051,49,363581.2335322874,109917,15.471976571870714,63.384972300040005
1375,996,23,3134057.3678848166,108912,1.7694100260134076,55.050016554635135
527,411,7,37323.11731230597,2520,199.89773417380422,1734.5797761263284
339,268,0,32738.221778516454,2391,182.3946710872606,1827.9571343826076
1091,679,9,2591394.2262411113,660904,3.144080255129897,27.587771848455937
1757,1218,31,11936465.484127322,290965,0.43645777736055624,19.094631146992164
1518,334,17,8317257.084,70654,0.69,78.5
1440,134,80,2100.0,64,4.57,149.82
1440,134,78,2100.0,64,4.57,149.82
