Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Dsg_Unts,Tot_Clms,Avg_Spnd_Per_Dsg_Unt_Wghtd,Avg_Spnd_Per_Clm
0,0,0,275.0,179,1675.15,2025.17
0,0,1,275.0,179,1675.15,2025.17
1,1,0,1622835.0,15999,2.28,152.98
1,1,2,677310.0,5998,2.2,156.32
1,1,3,221192.0,3942,2.48,139.04
1,1,4,43155.0,768,2.89,162.49
1,1,5,172850.0,3025,2.54,145.33
2,2,0,724051.0,24240,6.46,192.96
2,2,6,38988.0,1308,7.79,232.13
2,2,7,97524.0,3263,6.12,182.8
3,3,0,61894.0,1089,21.42,1217.55
3,3,8,61894.0,1089,21.42,1217.55
4,4,0,223946.29,223248,2068.34,2068.74
4,4,9,223946.29,223248,2068.34,2068.74
5,4,0,7792510.22,232715,28.59,953.03
5,4,10,7792510.22,232715,28.59,953.03
6,5,0,8181172.0,56897,0.77,110.52
6,5,5,229867.0,1509,0.75,114.18
6,5,11,2729.0,27,0.68,68.24
6,5,12,5152611.0,36025,0.77,109.43
6,5,7,66199.0,454,0.79,114.86
6,5,13,7115.0,80,0.78,69.66
7,6,0,5704939.2,61239,0.29,27.19
7,6,14,544143.0,6112,0.27,24.12
7,6,15,11226.0,141,0.24,19.18
7,6,16,1038273.0,10692,0.3,28.69
7,6,17,1375515.0,14952,0.3,27.38
7,6,18,2723152.2,29200,0.29,27.24
8,7,0,6365.0,96,3.45,228.84
8,7,19,6365.0,96,3.45,228.84
9,8,0,2790.0,72,4.69,181.5
9,8,20,2790.0,72,4.69,181.5
10,9,0,375346.5,6720,0.42,23.64
10,9,5,30734.0,589,0.43,22.44
10,9,21,343588.5,6112,0.42,23.75
11,10,0,10652.22,149,4.97,355.56
11,10,22,10652.22,149,4.97,355.56
12,11,0,9827.0,155,0.89,10.06
13,12,0,50504605.34,1486224,0.26,8.14
13,12,7,5526445.0,153348,0.24,9.11
13,12,23,1258439.27,6992,0.04,6.98
13,12,11,1620.0,375,5.8,12.57
13,12,21,5663178.0,231370,0.31,7.66
13,12,24,20862903.52,669705,0.25,7.98
13,12,25,3877823.05,20477,0.04,6.62
13,12,3,10447177.0,327416,0.24,8.04
13,12,26,545785.5,2939,0.03,5.82
13,12,13,1585.0,668,1.59,3.78
14,13,0,7109691.95,90547,1.17,92.44
14,13,27,2987494.51,39198,1.2,91.37
14,13,11,603.0,38,0.85,13.54
14,13,28,1617919.03,19533,1.21,99.81
14,13,15,964513.52,12805,1.11,83.57
15,14,0,2464.07,553,62.91,202.68
15,14,29,1270.57,284,53.08,237.46
15,14,30,638.5,129,38.85,192.27
16,15,0,8378673.54,25468,1.18,21.56
16,15,26,107866.0,7030,1.49,22.85
16,15,31,1430547.0,775,0.01,12.31
16,15,32,2730251.0,1692,0.01,13.61
16,15,25,186523.0,12177,1.44,22.11
17,10,0,2969002.94,22041,0.98,118.97
17,10,33,741468.6,5576,0.91,121.54
17,10,34,639375.69,4178,1.35,206.25
17,10,35,37057.7,426,5.13,446.53
17,10,36,10244.0,106,2.91,281.4
17,10,37,13603.63,96,5.74,813.62
18,16,0,2897.0,57,0.04,1.86
18,16,38,2897.0,57,0.04,1.86
19,17,0,18778.0,524,0.44,15.49
19,17,39,15010.0,433,0.46,15.96
19,17,40,3768.0,91,0.32,13.23
20,18,0,52552.0,1141,16.36,753.66
20,18,41,52552.0,1141,16.36,753.66
21,19,0,208726.6,5770,13.43,483.05
21,19,7,55485.0,1445,14.93,564.98
21,19,5,82009.6,2268,13.72,494.62
21,19,6,12429.0,367,13.86,470.16
21,19,42,58803.0,1690,11.65,400.27
22,20,0,311782.33,25212,502.73,2260.87
22,20,43,311782.33,25212,502.73,2260.87
23,21,0,32.05,32,725.33,726.46
23,21,44,32.05,32,725.33,726.46
24,22,0,44014.31,689,9.22,588.11
24,22,45,26166.31,433,9.34,564.45
25,23,0,3945.0,36,88.29,9655.57
25,23,7,3945.0,36,88.29,9655.57
26,24,0,2164.69,3074,3856.93,2876.3
26,24,46,2164.69,3074,3856.93,2876.3
27,25,0,17023.0,551,3.37,104.08
27,25,47,17023.0,551,3.37,104.08
28,26,0,957.0,163,127.24,379.32
28,26,45,957.0,163,127.24,379.32
29,27,0,4195.0,120,16.13,553.52
29,27,48,4195.0,120,16.13,553.52
30,28,0,1499.0,259,48.66,281.61
30,28,49,1499.0,259,48.66,281.61
31,29,0,1147.0,91,25.68,323.71
31,29,49,1147.0,91,25.68,323.71
32,30,0,134512.72,2403,2.03,112.71
32,30,50,65443.58,1269,2.2,113.38
32,30,33,69069.14,1134,1.84,111.95
33,31,0,58444502.7,1085001,1.16,24.1
33,31,51,8676.0,244,0.16,5.74
33,31,52,7859080.11,189122,0.24,9.6
33,31,53,2958.0,89,0.15,4.75
33,31,54,126136.0,2310,0.17,9.56
33,31,55,4101743.09,24465,1.74,102.98
33,31,56,595993.9,15049,2.13,18.87
33,31,57,798610.2,4968,0.51,81.63
33,31,21,201699.0,8506,7.97,188.92
33,31,15,3834093.51,80996,0.18,8.46
33,31,58,5927.0,136,0.18,7.67
33,31,13,7192.0,1115,11.11,71.65
33,31,4,2617236.13,54092,0.21,10.09
33,31,25,1339510.8,6637,0.48,95.89
33,31,39,10591.5,382,0.38,10.08
33,31,59,11435720.7,259087,0.22,9.39
33,31,2,13799641.19,326289,0.23,9.57
33,31,11,3859.63,249,0.57,8.33
34,32,0,2060.5,3755,96.54,52.76
34,32,60,2060.5,3755,96.54,52.76
35,33,0,2540276.86,56001,2.51,113.84
35,33,7,542220.0,11943,1.79,81.48
35,33,12,513481.0,11331,1.49,67.68
35,33,35,515191.0,11369,3.67,166.49
35,33,61,105165.0,2307,2.62,119.39
35,33,27,324486.86,7143,2.47,112.15
35,33,6,182208.0,4022,2.96,134.37
35,33,62,153495.0,3383,3.87,175.49
36,34,0,8802.95,4269,7242.08,14933.62
36,34,63,8802.95,4269,7242.08,14933.62
37,35,0,345484.17,7286,60.7,2878.22
37,35,64,345484.17,7286,60.7,2878.22
38,36,0,696741.0,13523,6.06,313.41
38,36,7,696741.0,13523,6.06,313.41
39,36,0,42770783.71,1273107,6.75,226.82
39,36,65,42770783.71,1273107,6.75,226.82
40,37,0,52403.0,1726,24.34,738.97
40,37,42,25658.0,825,24.28,754.99
41,38,0,422015.0,4885,115.63,9988.41
41,38,66,422015.0,4885,115.63,9988.41
42,39,0,2382.32,318,30.22,226.39
42,39,67,2382.32,318,30.22,226.39
43,39,0,2363.0,201,59.96,704.95
43,39,67,2363.0,201,59.96,704.95
44,39,0,171186.53,12810,9.72,119.83
44,39,68,88238.33,5726,7.49,115.4
44,39,69,6530.33,681,10.32,100.16
44,39,33,10028.75,1526,19.2,126.2
44,39,37,37843.84,3052,10.49,130.08
45,40,0,40655.85,17133,55.04,110.9
45,40,19,40655.85,17133,55.04,110.9
46,41,0,118.0,51,46.78,108.23
46,41,19,118.0,51,46.78,108.23
47,42,0,533940.82,6244,2.26,143.86
47,42,68,533940.82,6244,2.26,143.86
48,43,0,66874530.8,3876,1.7,29656.94
48,43,70,66874530.8,3876,1.7,29656.94
49,44,0,1429832.0,46581,11.14,342.07
49,44,71,1429832.0,46581,11.14,342.07
50,45,0,2669.0,2565,39.65,41.25
