Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2016,Tot_Dsg_Unts_2016,Tot_Clms_2016,Avg_Spnd_Per_Dsg_Unt_Wghtd_2016,Avg_Spnd_Per_Clm_2016,Outlier_Flag_2016,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Chg_Avg_Spnd_Per_Dsg_Unt_19_20,CAGR_Avg_Spnd_Per_Dsg_Unt_16_20
"8hr Arthritis Pain",Acetaminophen,1,Overall,,,,,,,,,,,,,,,,,,,$914.89,"$14,720.00",181,$0.06,$5.05,1,$433.73,"4,600",49,$0.09,$8.85,1,51.71%,51.71%
"8hr Arthritis Pain",Acetaminophen,1,Topco,,,,,,,,,,,,,,,,,,,$914.89,"$14,720.00",181,$0.06,$5.05,1,$433.73,"4,600",49,$0.09,$8.85,1,51.71%,51.71%
"A & D","Vitamins A And D",1,Overall,$470.91,"7,992.4",49,$0.06,$9.61,1,,,,,,,$252.22,"36,845",84,$0.01,$3.00,1,$770.31,"$51,334.45",121,$0.02,$6.37,1,$322.51,"15,751.8",41,$0.02,$7.87,1,119.21%,-23.22%
"A & D","Vitamins A And D",1,Schering-Plough,$470.91,"7,992.4",49,$0.06,$9.61,1,,,,,,,$252.22,"36,845",84,$0.01,$3.00,1,$770.31,"$51,334.45",121,$0.02,$6.37,1,$322.51,"15,751.8",41,$0.02,$7.87,1,36.44%,-23.22%
"A And D","Vits A And D/White Pet/Lanolin",1,Overall,,,,,,,$406.33,"3,502.5",47,$0.12,$8.65,1,$213.70,"2,113.7",28,$0.10,$7.63,1,$79.36,"$1,102.00",17,$0.07,$4.67,1,$138.49,"1,483.5",19,$0.09,$7.29,1,29.63%,-6.99%
"A And D","Vits A And D/White Pet/Lanolin",1,"Bayer Healthcar",,,,,,,$406.33,"3,502.5",47,$0.12,$8.65,1,$213.70,"2,113.7",28,$0.10,$7.63,1,$79.36,"$1,102.00",17,$0.07,$4.67,1,$138.49,"1,483.5",19,$0.09,$7.29,1,29.63%,-6.99%
"A And D Diaper Rash","Dimethic/Zinc Ox/Vits A,D/Aloe",1,Overall,,,,,,,,,,,,,,,,,,,$90.59,"$1,221.43",15,$0.07,$6.04,1,$204.19,"1,675.5",27,$0.12,$7.56,1,64.32%,64.32%
"A And D Diaper Rash","Dimethic/Zinc Ox/Vits A,D/Aloe",1,"Bayer Healthcar",,,,,,,,,,,,,,,,,,,$90.59,"$1,221.43",15,$0.07,$6.04,1,$204.19,"1,675.5",27,$0.12,$7.56,1,64.32%,64.32%
A-Hydrocort,"Hydrocortisone Sod Succinate",1,Overall,,,,,,,"$19,004.32",122,81,$155.77,$234.62,1,"$20,505.63",71,67,$288.81,$306.05,1,"$2,121.53",$35.00,33,$60.62,$64.29,1,"$32,255.83",64,69,$504.00,$467.48,1,731.47%,47.90%
A-Hydrocort,"Hydrocortisone Sod Succinate",1,Hospira/Pfizer,,,,,,,"$19,004.32",122,81,$155.77,$234.62,1,"$20,505.63",71,67,$288.81,$306.05,1,"$2,121.53",$35.00,33,$60.62,$64.29,1,"$32,255.83",64,69,$504.00,$467.48,1,731.47%,47.90%
A-Methapred,"Methylprednisolone Sod Succ",1,Overall,"$34,520.89","2,426.26","1,189",$15.28,$29.03,1,"$52,321.76",903.38,377,$126.82,$138.78,1,"$297,862.70",233,151,$915.59,"$1,972.60",1,"$362,505.76",$275.00,179,"$1,675.15","$2,025.17",1,"$11,160.11",132,110,$81.59,$101.46,1,82.96%,52.01%
A-Methapred,"Methylprednisolone Sod Succ",1,Hospira,"$34,520.89","2,426.26","1,189",$15.28,$29.03,1,"$52,321.76",903.38,377,$126.82,$138.78,1,"$297,862.70",233,151,$915.59,"$1,972.60",1,"$362,505.76",$275.00,179,"$1,675.15","$2,025.17",1,"$11,160.11",132,110,$81.59,$101.46,1,-95.13%,52.01%
Abacavir,"Abacavir Sulfate",7,Overall,"$7,360,772.93","1,613,893","27,596",$4.56,$266.73,0,"$4,861,530.25","1,456,252","22,826",$3.63,$212.98,0,"$2,999,872.44","1,869,391","20,102",$2.30,$149.23,0,"$2,447,565.20","$1,622,835.00","15,999",$2.28,$152.98,0,"$1,668,418.74","1,324,450.294","12,600",$1.86,$132.41,0,-0.98%,-20.08%
Abacavir,"Abacavir Sulfate",1,"Camber Pharmace","$2,278,494.02","504,740","8,520",$4.51,$267.43,0,"$1,389,264.75","516,468","6,468",$3.47,$214.79,0,"$963,742.94","866,185","5,674",$2.12,$169.85,0,"$937,622.39","$677,310.00","5,998",$2.20,$156.32,0,"$741,734.29","565,459.294","5,547",$1.86,$133.72,0,-15.40%,-19.88%
Abacavir,"Abacavir Sulfate",1,"Cipla USA, Inc.",,,,,,,,,,,,,"$43,062.43","20,833",352,$2.07,$122.34,0,"$179,232.29","$80,923.00","1,385",$2.21,$129.41,0,"$128,856.45","75,710","1,323",$1.70,$97.40,0,-23.16%,-9.26%
Abacavir,"Abacavir Sulfate",1,"Aurobindo Pharm","$2,885,686.73","636,555","10,946",$4.53,$263.63,0,"$1,914,053.43","512,125","8,851",$3.74,$216.25,0,"$785,394.73","336,600","5,899",$2.33,$133.14,0,"$548,107.89","$221,192.00","3,942",$2.48,$139.04,0,"$326,056.77","156,219","2,724",$2.09,$119.70,0,-15.77%,-17.63%
Abacavir,"Abacavir Sulfate",1,"Major Pharmaceu",,,,,,,"$7,233.28","1,384",32,$5.23,$226.04,1,"$2,396.80",876,19,$2.74,$126.15,1,"$1,435.21",$728.00,17,$1.97,$84.42,1,"$4,594.90","1,502",27,$3.06,$170.18,1,55.18%,-16.35%
Abacavir,"Abacavir Sulfate",1,"Apotex Corp","$914,768.62","189,546","3,237",$4.83,$282.60,0,"$1,088,113.37","303,125","5,273",$3.59,$206.36,0,"$807,272.06","309,331","5,431",$2.61,$148.64,0,"$124,795.85","$43,155.00",768,$2.89,$162.49,0,"$19,480.06","7,756",163,$2.51,$119.51,1,-13.15%,-15.06%
